kecamatan,cluster,standar_terpenuhi,kualitas_pendidikan,prioritas_1,prioritas_2,prioritas_3,rekomendasi,x1_value,x2_value,x3_value,x4_value,x5_value,x6_value,x7_value
Asemrowo,0,4,sedang,x5,x7,x6,"1) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",12.5554,10.5927,20.8031,16.7597,0.183853,0.30157,0.241658
Benowo,0,2,rendah,x2,x7,x6,"1) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",26.1212,20.9173,33.8895,27.4479,0.831017,0.769351,0.713861
Bubutan,0,5,sedang,x7,x2,,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 4) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",16.2258,16.4877,14.3046,27.165,0.953453,0.981251,0.312317
Bulak,0,3,rendah,x5,x2,x7,"1) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",16.402,25.1193,12.5613,24.3302,0.0936057,0.756945,0.362887
Dukuh Pakis,0,4,sedang,x7,x5,x1,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu penambahan ruang kelas baru atau redistribusi siswa antar sekolah untuk mengurangi kepadatan kelas dan menciptakan lingkungan belajar yang lebih kondusif, sehingga interaksi antara guru dan siswa dapat lebih efektif; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",32.6075,12.5466,30.6266,8.26902,0.591484,0.936257,0.564893
Gayungan,0,1,sangat rendah,x2,x5,x7,"1) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 2) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 3) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",37.735,27.9267,36.0919,15.8681,0.265358,0.76877,0.332325
Genteng,1,3,rendah,x7,x2,x6,"1) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",26.9749,27.0011,24.8253,16.5319,0.789752,0.477942,0.103043
Gubeng,0,3,rendah,x6,x2,x7,"1) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 2) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 3) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",19.657,17.7538,28.9159,14.5167,0.888695,0.488597,0.839102
Gunung Anyar,1,2,rendah,x5,x7,x6,"1) Perlu pembangunan fasilitas perpustakaan di sekolah yang belum memilikinya untuk meningkatkan akses siswa terhadap sumber belajar, mendukung budaya literasi, dan memfasilitasi pembelajaran mandiri serta penelitian siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",32.9813,17.7631,15.2546,28.3031,0.0667515,0.731181,0.639411
Jambangan,1,2,rendah,x2,x7,x6,"1) Perlu penambahan tenaga pengajar untuk mengurangi beban kerja guru dan memungkinkan perhatian yang lebih personal kepada setiap siswa, sehingga proses pembelajaran dapat lebih adaptif terhadap kebutuhan individu siswa; 2) Perlu memastikan ketersediaan ruang kelas yang memadai dan proporsional dengan jumlah rombongan belajar, sehingga jadwal pembelajaran dapat berjalan optimal tanpa terkendala keterbatasan ruang dan waktu; 3) Perlu pengadaan laboratorium di sekolah yang belum memilikinya untuk mendukung pembelajaran berbasis eksperimen, mengembangkan keterampilan praktis siswa, dan memberikan pengalaman belajar yang lebih konkret terutama pada mata pelajaran sains dan teknologi; 4) Merencanakan pendekatan terpadu untuk meningkatkan semua aspek yang memerlukan perhatian, dengan prioritas pada indikator yang paling kritis; 5) Memperkuat kerja sama dengan dunia industri untuk memastikan kurikulum dan fasilitas laboratorium/praktik sesuai dengan kebutuhan dunia kerja terkini.",36.6919,29.5879,26.209,6.58122,0.572245,0.45866,0.137233
